loc,collection_site,lat,lon,date,species,full_id,treatment,pae_ugL,sample,n,count_time,vial_id,egg_count,deformed_count,cleave_count
HIMB,,,,,m-capitata,control-cleave-5,control,0,cleave,5,,cc5,,,
HIMB,,,,,m-capitata,low-cleave-5,low,0.5,cleave,5,,lc5,,,
HIMB,,,,,m-capitata,mid-cleave-5,mid,5,cleave,5,,mc5,,,
HIMB,,,,,m-capitata,high-cleave-5,high,50,cleave,5,,hc5,,,
HIMB,,,,,m-capitata,peak-cleave-5,peak,150,cleave,5,,pc5,,,
HIMB,,,,,m-capitata,control-cleave-6,control,0,cleave,6,,cc6,,,
HIMB,,,,,m-capitata,low-cleave-6,low,0.5,cleave,6,,lc6,,,
HIMB,,,,,m-capitata,mid-cleave-6,mid,5,cleave,6,,mc6,,,
HIMB,,,,,m-capitata,high-cleave-6,high,50,cleave,6,,hc6,,,
HIMB,,,,,m-capitata,peak-cleave-6,peak,150,cleave,6,,pc6,,,
HIMB,,,,,m-capitata,control-cleave-7,control,0,cleave,7,,cc7,,,
HIMB,,,,,m-capitata,low-cleave-7,low,0.5,cleave,7,,lc7,,,
HIMB,,,,,m-capitata,mid-cleave-7,mid,5,cleave,7,,mc7,,,
HIMB,,,,,m-capitata,high-cleave-7,high,50,cleave,7,,hc7,,,
HIMB,,,,,m-capitata,peak-cleave-7,peak,150,cleave,7,,pc7,,,
HIMB,,,,,m-capitata,control-cleave-8,control,0,cleave,8,,cc8,,,
HIMB,,,,,m-capitata,low-cleave-8,low,0.5,cleave,8,,lc8,,,
HIMB,,,,,m-capitata,mid-cleave-8,mid,5,cleave,8,,mc8,,,
HIMB,,,,,m-capitata,high-cleave-8,high,50,cleave,8,,hc8,,,
HIMB,,,,,m-capitata,peak-cleave-8,peak,150,cleave,8,,pc8,,,
HIMB,,,,,m-capitata,control-cleave-9,control,0,cleave,9,,cc9,,,
HIMB,,,,,m-capitata,low-cleave-9,low,0.5,cleave,9,,lc9,,,
HIMB,,,,,m-capitata,mid-cleave-9,mid,5,cleave,9,,mc9,,,
HIMB,,,,,m-capitata,high-cleave-9,high,50,cleave,9,,hc9,,,
HIMB,,,,,m-capitata,peak-cleave-9,peak,150,cleave,9,,pc9,,,
HIMB,,,,,m-capitata,control-cleave-10,control,0,cleave,10,,cc10,,,
HIMB,,,,,m-capitata,low-cleave-10,low,0.5,cleave,10,,lc10,,,
HIMB,,,,,m-capitata,mid-cleave-10,mid,5,cleave,10,,mc10,,,
HIMB,,,,,m-capitata,high-cleave-10,high,50,cleave,10,,hc10,,,
HIMB,,,,,m-capitata,peak-cleave-10,peak,150,cleave,10,,pc10,,,
HIMB,,,,,m-capitata,control-cleave-11,control,0,cleave,11,,cc11,,,
HIMB,,,,,m-capitata,low-cleave-11,low,0.5,cleave,11,,lc11,,,
HIMB,,,,,m-capitata,mid-cleave-11,mid,5,cleave,11,,mc11,,,
HIMB,,,,,m-capitata,high-cleave-11,high,50,cleave,11,,hc11,,,
HIMB,,,,,m-capitata,peak-cleave-11,peak,150,cleave,11,,pc11,,,
