loc,specific,lat,lon,date,species,full_id,treatment,pae_ugL,phase,n,colony_a,a_collect_time,colony_b,b_collect_time,combo_time,vial_id,egg_count,phase_time,phase_count,percent_response,2cell,4cell,morecell,respiration,
HIMB,,,,6/28/2022,,blank-spme-1,blank,0,spme,1,1,21:05,2,21:30,21:45,,,,,,,,,,
HIMB,blue-tub,,,6/28/2022,,blank-spme-2,blank,0,spme,2,wild,,wild,na,22:10,,,,,,,,,,
HIMB,blue-tub,,,6/28/2022,,blank-spme-3,blank,0,spme,3,,,,,,,,,,,,,,,
HIMB,blue-tub,,,6/29/2022,,blank-spme-4,blank,0,spme,4,,,,,,,,,,,,,,,
HIMB,blue-tub,,,6/29/2022,,blank-spme-5,blank,0,spme,5,,,,,,,,,,,,,,,
HIMB,blue-tub,,,6/29/2022,,blank-spme-6,blank,0,spme,6,,,,,,,,,,,,,,,
HIMB,blue-tub,21.431872,-157.788674,6/28/2022,m-capitata,control-cleave-1,control,0,cleave,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,cc1,28,6/29/2922 4:18,0,0,0,0,0,na,
HIMB,blue-tub,21.431872,-157.788674,6/28/2022,m-capitata,control-planula-1,control,0,planula,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,cp1,,,,,,,,,
HIMB,blue-tub,21.431872,-157.788674,6/28/2022,m-capitata,control-settle-1,control,0,settle,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,cs1,,,,,,,,,
HIMB,blue-tub,21.431872,-157.788674,6/28/2022,m-capitata,control-cleave-2,control,0,cleave,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:15,cc2,20,6/29/2022 3:55,9,45,6,3,0,na,
HIMB,blue-tub,21.431872,-157.788674,6/28/2022,m-capitata,high-planula-1,high,50,planula,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,hp1,,,,,,,,,
HIMB,blue-tub,21.431872,-157.788674,6/28/2022,m-capitata,high-settle-1,high,50,settle,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,hs1,,,,,,,,,
HIMB,blue-tub,21.431872,-157.788674,6/29/2022,m-capitata,control-cleave-3,control,0,cleave,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,cc3,23,6/30/2022 4:46,21,91.30434783,1,4,16,na,
HIMB,blue-tub,21.431872,-157.788674,6/28/2022,m-capitata,low-planula-1,low,0.5,planula,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,lp1,,,,,,,,,
HIMB,blue-tub,21.431872,-157.788674,6/28/2022,m-capitata,low-settle-1,low,0.5,settle,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,ls1,,,,,,,,,
HIMB,blue-tub,21.431872,-157.788674,6/29/2022,m-capitata,control-cleave-4,control,0,cleave,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,cc4,17,6/30/2022 3:53,16,94.11764706,2,6,8,na,
HIMB,no-bundle,21.431872,-157.788674,6/28/2022,m-capitata,mid-planula-1,mid,5,planula,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,mp1,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,mid-settle-1,mid,5,settle,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,ms1,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,high-cleave-1,high,50,cleave,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,hc1,33,6/29/2022 3:50,0,0,0,0,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,peak-planula-1,peak,150,planula,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,pp1,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,peak-settle-1,peak,150,settle,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,ps1,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,high-cleave-2,high,50,cleave,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:10,hc2,51,6/29/2022 4:14,34,66.66666667,23,11,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,control-planula-2,control,0,planula,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:10,cp2,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,control-settle-2,control,0,settle,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:10,cs2,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,high-cleave-3,high,50,cleave,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,hc3,24,6/30/2022 4:07,0,0,0,0,0,na,
